,0
317,199.99241638183594
318,159.6738739013672
319,233.75411987304688
320,170.91282653808594
321,214.93450927734375
322,115.21894836425781
323,178.58688354492188
324,213.3511199951172
325,0.9137634038925171
326,150.12953186035156
327,216.52108764648438
328,389.6190185546875
329,242.66461181640625
330,135.00119018554688
331,71.28748321533203
332,209.66555786132812
333,175.98388671875
334,5.426917552947998
335,200.86383056640625
336,151.70811462402344
337,684.9370727539062
338,223.16787719726562
339,132.83316040039062
340,826.2076416015625
341,209.86553955078125
342,235.20773315429688
343,32.05723571777344
344,192.2669677734375
345,280.18328857421875
346,100.39895629882812
347,218.1986846923828
348,207.9538116455078
349,1.8170822858810425
350,268.9842529296875
351,76.71623992919922
352,350.6567077636719
353,239.89443969726562
354,120.4508285522461
355,151.45086669921875
356,183.5198211669922
357,166.47598266601562
358,224.58316040039062
359,191.34487915039062
360,187.18960571289062
361,6.260016918182373
362,287.03668212890625
363,75.73750305175781
364,140.97927856445312
365,179.2526397705078
366,181.55218505859375
367,23.223289489746094
368,150.71734619140625
369,180.58419799804688
370,189.40927124023438
371,187.98150634765625
372,150.6873321533203
373,128.44371032714844
374,207.41014099121094
375,118.74713134765625
376,259.1166076660156
377,240.12161254882812
378,111.21409606933594
379,4.174189567565918
380,189.34349060058594
381,128.2950897216797
382,181.9787139892578
383,150.9866180419922
384,169.9239959716797
385,122.46961212158203
386,164.12203979492188
387,161.6532440185547
388,68.04805755615234
389,148.33172607421875
390,132.48904418945312
391,298.77490234375
392,106.95993041992188
393,129.1924285888672
394,514.2554321289062
395,182.41563415527344
396,133.8182830810547
397,111.54886627197266
398,124.32534790039062
399,186.20452880859375
400,164.8488006591797
401,165.6161346435547
402,121.33729553222656
403,250.44984436035156
404,80.29305267333984
405,199.15826416015625
406,243.8424835205078
407,126.32888793945312
408,176.54872131347656
409,126.61670684814453
410,182.93797302246094
411,89.7838134765625
412,261.05682373046875
413,155.632568359375
414,172.73147583007812
415,24.045488357543945
416,172.4409942626953
417,143.04493713378906
418,42.47064971923828
419,149.5391082763672
420,123.09532165527344
421,192.29226684570312
422,59.01636505126953
423,177.21128845214844
424,356.74169921875
425,128.1123046875
426,194.08468627929688
427,0.8302146196365356
428,179.75997924804688
429,109.54244232177734
430,112.20854949951172
431,157.88722229003906
432,111.02059936523438
433,193.96768188476562
434,89.4044189453125
435,179.78482055664062
436,169.84190368652344
437,147.48776245117188
438,120.82762908935547
439,176.5030517578125
440,97.89924621582031
441,189.67298889160156
442,76.5056381225586
443,99.98030090332031
444,201.2627716064453
445,22.1143856048584
446,150.00418090820312
447,115.37215423583984
448,116.2517318725586
449,111.74421691894531
450,146.61143493652344
451,146.76321411132812
452,113.27113342285156
453,155.30079650878906
454,129.84246826171875
455,164.07699584960938
456,73.07015991210938
457,217.59048461914062
458,73.05972290039062
459,122.83977508544922
460,330.91461181640625
461,99.72840118408203
462,134.98915100097656
463,181.58541870117188
464,120.53659057617188
465,139.00592041015625
466,104.3551254272461
467,131.50674438476562
468,44.466312408447266
469,375.51812744140625
470,106.72854614257812
471,127.546875
472,141.66500854492188
473,120.23018646240234
474,111.32365417480469
475,146.72657775878906
